Season,Division,Team,No,Player,Role,Born,Height,Nat. Sport.,Note
2000/2001,A1,Ain Napoli,1,OKRACHKOVA MARGARITA,Spiker,1971,187,RUS,-
2000/2001,A1,Ain Napoli,2,BRAGAGLIA ANTONELLA,Middleblocker,1973,184,ITA,-
2000/2001,A1,Ain Napoli,3,RICCI ROSA,Setter,1973,172,ITA,-
2000/2001,A1,Ain Napoli,4,SANNINO ANNALISA,Middleblocker,1982,180,ITA,-
2000/2001,A1,Ain Napoli,5,BENECKE CHRISTINA,Middleblocker,1974,191,GER,-
2000/2001,A1,Ain Napoli,6,TURLEA CARMEN,Spiker,1975,185,ROM,-
2000/2001,A1,Ain Napoli,8,TAGALOA CHARLENE,Setter,1973,178,USA,-
2000/2001,A1,Ain Napoli,9,DE MARINIS CATERINA,Libero,1970,163,ITA,-
2000/2001,A1,Ain Napoli,11,CADÈ ANNALISA,Libero,1967,178,ITA,from 09/12/2000
2000/2001,A1,Ain Napoli,13,VECERKOVA MICAELA,Middleblocker,1973,191,CZE,-
2000/2001,A1,Ain Napoli,14,SOTO DELPHIN PATRICIA,Spiker,1980,182,PER,from 01/10/2000
2000/2001,A1,Ain Napoli,15,DEL CORE ANTONELLA,Middleblocker,1980,182,ITA,-
2000/2001,A1,Ain Napoli,16,DE TASSIS ANA PAULA,Spiker,1965,179,ITA,-
2000/2001,A1,Capo Sud Reggio Calabria,1,POTACHOVA OLGA,Spiker,1976,204,RUS,-
2000/2001,A1,Capo Sud Reggio Calabria,1,POTACHOVA OLGA,Spiker,1976,204,RUS,-
2000/2001,A1,Capo Sud Reggio Calabria,2,TORRI ALESSIA,Spiker,1975,180,ITA,from 10/12/2000
2000/2001,A1,Capo Sud Reggio Calabria,2,VADALÀ ROSY,Libero,-,175,ITA,-
2000/2001,A1,Capo Sud Reggio Calabria,2,TORRI ALESSIA,Spiker,1975,180,ITA,from 10/12/2000
2000/2001,A1,Capo Sud Reggio Calabria,2,VADALÀ ROSY,Libero,-,175,ITA,-
2000/2001,A1,Capo Sud Reggio Calabria,3,GIOLI SIMONA,Middleblocker,1977,185,ITA,-
2000/2001,A1,Capo Sud Reggio Calabria,3,GIOLI SIMONA,Middleblocker,1977,185,ITA,-
2000/2001,A1,Capo Sud Reggio Calabria,4,SUSKOVA EVA,Middleblocker,1964,180,ITA,-
2000/2001,A1,Capo Sud Reggio Calabria,4,SUSKOVA EVA,Middleblocker,1964,180,ITA,-
2000/2001,A1,Capo Sud Reggio Calabria,5,ARTMENKO SHAPOSHNIKOV TATIANA,Spiker,1976,185,ISR,from 11/11/2000 AL 07/01/2001
2000/2001,A1,Capo Sud Reggio Calabria,5,ARTMENKO SHAPOSHNIKOV TATIANA,Spiker,1976,185,ISR,from 11/11/2000 AL 07/01/2001
2000/2001,A1,Capo Sud Reggio Calabria,6,QUN SU LI,Middleblocker,1970,185,CHN,-
2000/2001,A1,Capo Sud Reggio Calabria,6,QUN SU LI,Middleblocker,1970,185,CHN,-
2000/2001,A1,Capo Sud Reggio Calabria,7,KIRILLOVA IRINA,Setter,1965,180,CRO,-
2000/2001,A1,Capo Sud Reggio Calabria,7,KIRILLOVA IRINA,Setter,1965,180,CRO,-
2000/2001,A1,Capo Sud Reggio Calabria,8,ARTAMANOVA EVGUENIA,Spiker,1975,197,RUS,-
2000/2001,A1,Capo Sud Reggio Calabria,8,ARTAMANOVA EVGUENIA,Spiker,1975,197,RUS,-
2000/2001,A1,Capo Sud Reggio Calabria,9,RITSCHELOVA MARCELA,Middleblocker,1972,191,CZE,-
2000/2001,A1,Capo Sud Reggio Calabria,9,RITSCHELOVA MARCELA,Middleblocker,1972,191,CZE,-
2000/2001,A1,Capo Sud Reggio Calabria,10,GLIGOROVIC BILJANA,Setter,1982,182,CRO,-
2000/2001,A1,Capo Sud Reggio Calabria,10,GLIGOROVIC BILJANA,Setter,1982,182,CRO,-
2000/2001,A1,Capo Sud Reggio Calabria,11,CERAVOLO ROSALBA,Spiker,1986,180,ITA,-
2000/2001,A1,Capo Sud Reggio Calabria,11,PIRV CRISTINA,Spiker,1972,185,ROM,from 07/03/2001
2000/2001,A1,Capo Sud Reggio Calabria,11,CERAVOLO ROSALBA,Spiker,1986,180,ITA,-
2000/2001,A1,Capo Sud Reggio Calabria,11,PIRV CRISTINA,Spiker,1972,185,ROM,from 07/03/2001
2000/2001,A1,Capo Sud Reggio Calabria,12,FONTANA DENISE,Spiker,1983,178,ITA,-
2000/2001,A1,Capo Sud Reggio Calabria,12,FONTANA DENISE,Spiker,1983,178,ITA,-
2000/2001,A1,Despar Perugia,1,LAHME SUZANNE,Middleblocker,1968,183,GER,-
2000/2001,A1,Despar Perugia,2,FOGALESI SIMONA,Setter,1974,180,ITA,-
2000/2001,A1,Despar Perugia,3,SWIENIEWICZ DOROTA,Spiker,1972,180,POL,-
2000/2001,A1,Despar Perugia,4,CIACCA VALENTINA,Libero,1982,-,-,from 11/11/2000
2000/2001,A1,Despar Perugia,5,MILDENBERGER NATALIA,Middleblocker,1978,190,ARG,until 07/01/2001
2000/2001,A1,Despar Perugia,6,CHEBUKINA ELENA,Middleblocker,1965,188,CRO,-
2000/2001,A1,Despar Perugia,7,MANGIFESTA CONSUELO,Libero,1968,178,ITA,-
2000/2001,A1,Despar Perugia,9,ZEPPOLONI ELISA,Spiker,1982,180,ITA,-
2000/2001,A1,Despar Perugia,9,KELLY JANIS LOUISE,Spiker,1971,178,CAN,-
2000/2001,A1,Despar Perugia,10,GARGAGLI CRISTINA,Libero,-,-,-,-
2000/2001,A1,Despar Perugia,11,SLIWA MAGDALENA,Setter,1969,173,POL,-
2000/2001,A1,Despar Perugia,12,GOLUBOVIC MIRA,Middleblocker,1976,188,SCG,from 17/12/2000
2000/2001,A1,Despar Perugia,13,MERLUZZI MARIANNA,Middleblocker,1974,180,ITA,-
2000/2001,A1,Despar Perugia,14,POSANI FRANCESCA,Spiker,-,-,-,from 04/03/2001
2000/2001,A1,Despar Perugia,15,GAGLIARDI CATIA,Spiker,-,-,-,from 17/11/2000
2000/2001,A1,Edison Modena,1,PHIPPS KEBA,Spiker,1969,192,USA,-
2000/2001,A1,Edison Modena,2,CASARINI ARIANNA,Spiker,-,180,ITA,-
2000/2001,A1,Edison Modena,3,CONDE MARIANA ISABEL,Spiker,1973,184,ARG,-
2000/2001,A1,Edison Modena,4,LEGGERI MANUELA,Middleblocker,1976,186,ITA,-
2000/2001,A1,Edison Modena,5,BERTINI SABRINA,Spiker,1969,182,ITA,-
2000/2001,A1,Edison Modena,6,DONELLI STEFANIA,Setter,1980,181,ITA,-
2000/2001,A1,Edison Modena,7,ZHUKOVA IRYNA,Setter,1974,179,UKR,-
2000/2001,A1,Edison Modena,8,JELIC BARBARA,Spiker,1977,193,CRO,-
2000/2001,A1,Edison Modena,9,WANG ZHILING,Libero,1974,181,CHN,from 23/02/2001
2000/2001,A1,Edison Modena,11,PACHALE HANKA,Spiker,1976,190,GER,-
2000/2001,A1,Edison Modena,12,ROMANÒ MARIA DEL ROSARIO,Spiker,1976,182,ITA,-
2000/2001,A1,Edison Modena,14,SANGLARD ANA FLAVIA,Middleblocker,1970,188,BRA,-
2000/2001,A1,Edison Modena,14,BRUSCHINI LAURA,Spiker,1966,176,ITA,-
2000/2001,A1,Famila Imola,1,SIDORENKO TATJANA,Spiker,1966,184,CRO,-
2000/2001,A1,Famila Imola,2,PERNICI EMANUELA,Libero,1976,175,ITA,-
2000/2001,A1,Famila Imola,3,POSER MANUELA,Middleblocker,1973,182,ITA,-
2000/2001,A1,Famila Imola,4,DILLARD BENISHE,Spiker,-,-,USA,from 24/03/2001
2000/2001,A1,Famila Imola,5,PACCAGNELLA STEFANIA,Middleblocker,1973,184,ITA,-
2000/2001,A1,Famila Imola,6,PINESE ALESSANDRA,Setter,1975,175,ITA,-
2000/2001,A1,Famila Imola,7,SERAGIOTTO LARA,Setter,1975,178,ITA,-
2000/2001,A1,Famila Imola,9,DE GRANDIS INGRID,Spiker,1976,183,ITA,-
2000/2001,A1,Famila Imola,10,HUURMAN FRANCIEN,Middleblocker,1975,194,NED,-
2000/2001,A1,Famila Imola,12,FANTACCINI SLAVKA,Spiker,1978,195,SVK,-
2000/2001,A1,Famila Imola,14,CONTI ALESSIA,Spiker,1976,182,ITA,-
2000/2001,A1,Famila Imola,15,CALORI SOFIA,Spiker,-,180,ITA,-
2000/2001,A1,Johnson Matthey Spezzano,1,SALINAS KARINE,Setter,1973,177,FRA,-
2000/2001,A1,Johnson Matthey Spezzano,3,NICORA FRANCESCA,Spiker,1978,182,ITA,-
2000/2001,A1,Johnson Matthey Spezzano,5,FERRARA CLAUDIA,Libero,1983,174,ITA,-
2000/2001,A1,Johnson Matthey Spezzano,6,ZANOTTI BEATRICE,Middleblocker,1976,186,ITA,-
2000/2001,A1,Johnson Matthey Spezzano,7,SERENA VALENTINA,Setter,1981,183,ITA,-
2000/2001,A1,Johnson Matthey Spezzano,8,MACULEWICZ KINGA,Middleblocker,1978,188,FRA,-
2000/2001,A1,Johnson Matthey Spezzano,9,CALDEIRA HILMA,Spiker,1972,183,BRA,until 07/01/2001
2000/2001,A1,Johnson Matthey Spezzano,10,BORRELLI VALENTINA,Spiker,1978,188,ITA,-
2000/2001,A1,Johnson Matthey Spezzano,11,KOUNOVA ELENA,Middleblocker,1975,190,BUL,from 05/11/2000
2000/2001,A1,Johnson Matthey Spezzano,12,NAGY MARIANN,Spiker,1976,188,HUN,-
2000/2001,A1,Johnson Matthey Spezzano,13,INNOCENTI DANIA,Spiker,1972,178,ITA,-
2000/2001,A1,Johnson Matthey Spezzano,15,MARLETTA VALERIA,Middleblocker,1976,190,ITA,-
2000/2001,A1,Minetti Vicenza,2,DIRICKX FRAUKE,Setter,1980,186,BEL,-
2000/2001,A1,Minetti Vicenza,3,MARINELLI EVELYN,Libero,1974,173,ITA,until 03/12/2000
2000/2001,A1,Minetti Vicenza,4,MALINOVA ARSENOVA KAMELIA,Setter,1968,187,BUL,-
2000/2001,A1,Minetti Vicenza,5,PAGGI PAOLA,Middleblocker,1976,182,ITA,-
2000/2001,A1,Minetti Vicenza,7,MENCHOVA TATIANA,Spiker,1970,188,KAZ,-
2000/2001,A1,Minetti Vicenza,8,CARVALHO DE SOUSA ERIKA,Libero,-,-,BRA,from 03/02/2001
2000/2001,A1,Minetti Vicenza,9,GLINKA MALGORZATA,Spiker,1978,191,POL,-
2000/2001,A1,Minetti Vicenza,10,TOGUT ELISA,Spiker,1978,192,ITA,-
2000/2001,A1,Minetti Vicenza,11,MIFKOVA DARINA,Spiker,1974,188,ITA,-
2000/2001,A1,Minetti Vicenza,14,CELLA ELISA,Middleblocker,1982,186,ITA,-
2000/2001,A1,Minetti Vicenza,15,VISSER INGRID,Middleblocker,1977,192,NED,-
2000/2001,A1,Minetti Vicenza,18,POLJAK MAJA,Middleblocker,1983,196,CRO,-
2000/2001,A1,Mirabilandia Teodora Ravenna,1,LO BIANCO ELEONORA,Setter,1979,171,ITA,-
2000/2001,A1,Mirabilandia Teodora Ravenna,2,CROATTO SILVIA,Spiker,1973,183,ITA,-
2000/2001,A1,Mirabilandia Teodora Ravenna,2,VENTURA ALESSANDRA,Spiker,1983,182,ITA,until 28/03/2001
2000/2001,A1,Mirabilandia Teodora Ravenna,3,ZILLI GERMANA,Setter,1973,176,ITA,-
2000/2001,A1,Mirabilandia Teodora Ravenna,5,SYKORA STACY,Libero,1977,176,USA,-
2000/2001,A1,Mirabilandia Teodora Ravenna,7,ZAMBELLI ALESSANDRA,Middleblocker,1967,180,ITA,-
2000/2001,A1,Mirabilandia Teodora Ravenna,10,WEERSING HENRIETTE,Spiker,1965,187,NED,-
2000/2001,A1,Mirabilandia Teodora Ravenna,11,LEENSTRA MARRIT,Spiker,1973,180,NED,-
2000/2001,A1,Mirabilandia Teodora Ravenna,12,COSTAGRANDE CAROLINA,Spiker,1980,186,ARG,-
2000/2001,A1,Mirabilandia Teodora Ravenna,13,CHIHUAN RAMOS LEYLA FELICITA,Middleblocker,1975,181,PER,from 17/11/2000
2000/2001,A1,Mirabilandia Teodora Ravenna,15,BOZHENOVA NATALIA,Middleblocker,1969,183,UKR,-
2000/2001,A1,Mirabilandia Teodora Ravenna,17,BOWN HEATHER,Middleblocker,1978,191,USA,-
2000/2001,A1,Radio 105 Foppapedretti Bergamo,1,BALDELLI GIORGIA,Spiker,1985,-,-,from 18/03/2001
2000/2001,A1,Radio 105 Foppapedretti Bergamo,1,SOUCY BRIGITTE,Spiker,1972,181,CAN,-
2000/2001,A1,Radio 105 Foppapedretti Bergamo,2,VOEIKOVA ANNA,Libero,1974,185,RUS,-
2000/2001,A1,Radio 105 Foppapedretti Bergamo,3,MELLO ANNA VANIA,Middleblocker,1979,190,ITA,-
2000/2001,A1,Radio 105 Foppapedretti Bergamo,4,DROZINA ELENA,Setter,1978,181,ITA,-
2000/2001,A1,Radio 105 Foppapedretti Bergamo,5,PEREZ DEL SOLAR GABRIELA,Middleblocker,1968,194,ITA,-
2000/2001,A1,Radio 105 Foppapedretti Bergamo,7,CACCIATORI MAURIZIA,Setter,1973,178,ITA,-
2000/2001,A1,Radio 105 Foppapedretti Bergamo,8,RINIERI SIMONA,Spiker,1977,188,ITA,-
2000/2001,A1,Radio 105 Foppapedretti Bergamo,9,GALASTRI ELISA,Middleblocker,1978,183,ITA,-
2000/2001,A1,Radio 105 Foppapedretti Bergamo,10,ZETOVA ANTONINA,Spiker,1973,190,BUL,-
2000/2001,A1,Radio 105 Foppapedretti Bergamo,12,PICCININI FRANCESCA,Spiker,1979,185,ITA,-
2000/2001,A1,Radio 105 Foppapedretti Bergamo,13,RICHIARDI VALENTINA,Spiker,-,-,-,from 25/03/2001
2000/2001,A1,Radio 105 Foppapedretti Bergamo,14,CARNE STEFANIA,Spiker,-,-,-,from 18/03/2001
2000/2001,A1,Rio Marsì Pa,1,ARIAS DONE NURIS,Spiker,1973,190,DOM,from 11/11/2000
2000/2001,A1,Rio Marsì Pa,2,BUTNARU ELENA,Middleblocker,1975,184,ROM,-
2000/2001,A1,Rio Marsì Pa,3,TROMBITAS LUMINITA,Setter,1971,181,ROM,-
2000/2001,A1,Rio Marsì Pa,4,PICHARDO CARRERA EVELYN,Libero,1971,174,DOM,from 12/11/2000
2000/2001,A1,Rio Marsì Pa,5,IVANIUSHKINA TATIANA,Spiker,1966,198,UKR,-
2000/2001,A1,Rio Marsì Pa,6,MANCINO ANA PAULA,Setter,1971,170,ITA,-
2000/2001,A1,Rio Marsì Pa,7,MENICHETTI CHIARA,Middleblocker,1977,180,ITA,-
2000/2001,A1,Rio Marsì Pa,8,CZAKO MARIA,Spiker,1974,187,HUN,-
2000/2001,A1,Rio Marsì Pa,9,WOUTERS VANESSA,Spiker,-,182,BEL,until 01/11/2000
2000/2001,A1,Rio Marsì Pa,10,ELFIMOVA ELENA,Spiker,1972,191,RUS,from 24/02/2001
2000/2001,A1,Rio Marsì Pa,10,CADÈ ANNALISA,Libero,1967,178,ITA,until 05/11/2000
2000/2001,A1,Rio Marsì Pa,11,RIMAC BETI,Spiker,1976,191,CRO,from 16/12/2000
2000/2001,A1,Rio Marsì Pa,11,ARTMENKO SHAPOSHNIKOV TATIANA,Spiker,1976,184,ISR,until 05/11/2000
2000/2001,A1,Rio Marsì Pa,12,BECCARIA VANIA,Spiker,1973,194,ITA,-
2000/2001,A1,Rio Marsì Pa,13,BOZKOVA KATERINA,Middleblocker,1973,193,CZE,until 25/11/2000
2000/2001,A1,Rio Marsì Pa,14,PERONA CINZIA,Middleblocker,1973,184,ITA,-
2000/2001,A1,Romanelli Firenze,1,SAVOSTIANOVA ELVIRA,Spiker,1974,191,RUS,-
2000/2001,A1,Romanelli Firenze,2,RANIERI ILARIA,Setter,1977,172,ITA,-
2000/2001,A1,Romanelli Firenze,4,COSTA DE CONCEICAO EDILMA,Spiker,1972,180,BRA,-
2000/2001,A1,Romanelli Firenze,5,GERMANOVA ANETA,Spiker,1975,186,BUL,-
2000/2001,A1,Romanelli Firenze,6,BARAZZA JENNY,Middleblocker,1981,185,ITA,-
2000/2001,A1,Romanelli Firenze,7,MARINOVA NELI,Setter,1971,175,BUL,-
2000/2001,A1,Romanelli Firenze,8,BANCHIERI MOIRA,Libero,1979,178,ITA,-
2000/2001,A1,Romanelli Firenze,9,NIEMCZYK MALGORZATA,Spiker,1969,181,POL,from 23/10/2000
2000/2001,A1,Romanelli Firenze,10,ROMANÒ MARIA PIA,Middleblocker,1976,180,ITA,-
2000/2001,A1,Romanelli Firenze,12,WAGNER MEIKA,Middleblocker,1973,182,USA,-
2000/2001,A1,Romanelli Firenze,15,DE LUCA BARBARA,Spiker,1975,180,ITA,-
2000/2001,A2,Agil Volley Trecate,1,ANZANELLO SARA,Middleblocker,1980,192,ITA,-
2000/2001,A2,Agil Volley Trecate,2,VIGANÒ NATALIA,Spiker,1979,178,ITA,-
2000/2001,A2,Agil Volley Trecate,3,ROSSO VALERIA,Middleblocker,1981,184,ITA,-
2000/2001,A2,Agil Volley Trecate,6,ZONCA CRISTIANA,Middleblocker,1982,184,ITA,-
2000/2001,A2,Agil Volley Trecate,7,ROCCA ENRICA,Setter,1984,174,ITA,-
2000/2001,A2,Agil Volley Trecate,8,VENTURINI LAURA,Setter,1977,172,ITA,-
2000/2001,A2,Agil Volley Trecate,9,DE CARNE VIRGINIE,Spiker,1977,190,BEL,-
2000/2001,A2,Agil Volley Trecate,10,CARDULLO PAOLA,Libero,1982,162,ITA,-
2000/2001,A2,Agil Volley Trecate,13,PORZIO NOEMI,Libero,1984,176,ITA,from 01/11/2000
2000/2001,A2,Agil Volley Trecate,16,NORIEGA SARAH,Spiker,1976,190,USA,-
2000/2001,A2,Agil Volley Trecate,18,WESTON ALLISON ELISABETH,Spiker,1974,184,USA,-
2000/2001,A2,Brums Busto Arsizio,1,FRIGERIO NICOLETTA,Setter,1970,175,ITA,-
2000/2001,A2,Brums Busto Arsizio,2,TABONI SABRINA,Spiker,1982,186,ITA,-
2000/2001,A2,Brums Busto Arsizio,3,RATTI MARIANA JUDITH,Spiker,1976,-,-,-
2000/2001,A2,Brums Busto Arsizio,4,LEUCHI FEDERICA,Spiker,1985,180,ITA,-
2000/2001,A2,Brums Busto Arsizio,7,DALL'IGNA STEFANIA,Setter,1984,176,ITA,-
2000/2001,A2,Brums Busto Arsizio,8,MARTINO KATIA,Middleblocker,1977,185,ITA,-
